SPECIESID,TubeNo,Worker,Trait
Lept_acer,9990190,3,MesosomaLength
Lept_acer,9990190,3,MidFemur
Lept_acer,9990190,4,HindFemur
Lept_acer,9990190,4,MesosomaLength
Lept_acer,9990190,4,MesosomaWidth
Lept_acer,9990190,1,HeadLength
Lept_acer,9990190,1,HeadWidth
Lept_acer,9990190,1,InterocularDistance
Lept_acer,9990190,1,ScapeLength
Lept_acer,9990190,2,HeadLength
Lept_acer,9990190,2,HeadWidth
Lept_acer,9990190,2,InterocularDistance
Lept_acer,9990190,2,ScapeLength
Lept_acer,9990190,3,HeadLength
Lept_acer,9990190,3,HeadWidth
Lept_acer,9990190,3,InterocularDistance
Lept_acer,9990190,3,ScapeLength
Lept_acer,9990190,4,HeadLength
Lept_acer,9990190,4,HeadWidth
Lept_acer,9990190,4,InterocularDistance
Lept_acer,9990190,4,ScapeLength
Lept_acer,9990190,1,HindTibia
Lept_acer,9990190,1,WebersLength
Lept_acer,9990190,2,MidTibia
Lept_acer,9990190,2,WebersLength
Lept_acer,9990190,3,HindTibia
Lept_acer,9990190,3,MidTibia
Lept_acer,9990190,3,WebersLength
Lept_acer,9990190,4,WebersLength
Myrm_lobu,9991083,4,HeadLength
Myrm_lobu,9992927,3,MesosomaLength
Myrm_lobu,9992927,3,MidTibia
Myrm_rubr,15134,4,HindFemur
Myrm_rubr,15134,4,MidFemur
Myrm_rubr,15134,4,HindTibia
Myrm_rubr,9991122,1,MidTibia
Myrm_rugi,9990543,1,HindFemur
Myrm_rugi,9990543,1,MidFemur
Myrm_rugi,9990543,2,HindFemur
Myrm_rugi,9990543,1,ScapeLength
Myrm_rugi,9990543,2,ScapeLength
Myrm_rugi,9991443,2,InterocularDistance
Myrm_rugi,9991945,2,MesosomaLength
Myrm_rugi,9991945,2,MesosomaWidth
Myrm_rugi,9991945,2,MidFemur
Myrm_sabu,9990109,3,HindTibia
Myrm_scab,9990577,3,MidFemur
Myrm_scab,9990933,2,MidTibia
Myrm_scab,9991573,2,HindFemur
Myrm_scab,9991573,2,MidFemur
Myrm_scab,9991573,4,HindFemur
Myrm_scab,9991573,4,MesosomaLength
Myrm_scab,9991573,4,MesosomaWidth
Myrm_scab,9991573,4,MidFemur
Myrm_scab,9991573,1,ScapeLength
Myrm_scab,9991573,2,ScapeLength
Myrm_scab,9991573,4,InterocularDistance
Myrm_scab,9991573,4,ScapeLength
Myrm_scab,9991573,2,HindTibia
Myrm_scab,9991573,4,HindTibia
Myrm_scab,9991573,4,WebersLength
Myrm_sche,5849,1,MidTibia
Myrm_sche,9991289,3,ScapeLength
Myrm_spec,18887B,1,HindFemur
Myrm_spec,18887B,1,HeadWidth
Myrm_spec,18887B,1,InterocularDistance
Myrm_spec,18887B,1,HindTibia
Myrm_spec,9991702,1,MesosomaLength
Myrm_spec,9991729,1,HindFemur
Temn_affi,12009,2,HindFemur
Temn_affi,12009,2,MesosomaLength
Temn_affi,12009,2,HeadWidth
Temn_affi,12009,2,MidTibia
Temn_affi,12009,2,WebersLength
